Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка
Сетевой инженер,Турболинк,"Глубокие знания сетевых технологий (стек TCP/IP). Опыт работы с динамической маршрутизацией OSPF, BGP","Администрирование сетевого оборудования (инсталляция, конфигурация, мониторинг, обеспечение качества и отказоустойчивости сети). Поддержка сетевой инфраструктуры компании, участие в планировании сети. ",350000 - 400000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118439765
Специалист по антитеррористической защищенности,Киностудия им. М. Горького,Опыт работы на релевантной позиции от 2-х лет. Знание нормативно-правовых актов в сфере антитеррористической защищенности,"Организовывать работы по обеспечению антитеррористической защиты в. Условиях рабочего процесса, проведения культурно - массовых мероприятий",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118467981
Специалист по IT,Торгпром,"Владение языками программирования: C++ / SQL / Python / Rust / PowerShell. Понимание сетевых протоколов (HTTP(S), Socks5 и др.)",,300000 - 2500000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118279002
Разработчик Python,SberTech,Опыт разработки на Python от 3-х лет (ООП и паттерны проектирования). Хорошие знания SQL и опыт работы с PostgreSQL. ,Разрабатывать продуктовые сервисы и автоматизировать бизнес процессов Компании. Проектировать и разрабатывать сервисы агрегации и обработки данных для внутренней системы отчетности. ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118226958
Инженер UNIX/SAN-инфраструктуры,NGRServices,Глубокие знания и минимум 5 лет опыта в администрировании корпоративных IT-систем. Практический опыт поддержки высоконагруженных сервисов и приложений. ,Администрирование серверов на базе Linux и сопровождение инфраструктурных сервисов. Обеспечение функционирования систем хранения данных (СХД) и управление их ресурсами. ,Не указана,Более 6 лет,https://hh.ru/vacancy/117562577
Специалист службы безопасности по зарубежным проектам,"Алабуга, ОЭЗ ППТ",,"Обеспечение безопасности пребывания на территории АО «ОЭЗ ППТ «Алабуга» иностранных специалистов, прибывших по международной программе «Алабуга Старт»",127500 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118451972
Инженер/Инженер-тестировщик,СИГНАЛТЕК,Знание сетевых технологий на уровне близком к Cisco CCNA. Знание операционных систем семейства Linux,"Настройка аппаратно-программных комплексов, эксплуатация и мониторинг существующих площадок с установленными комплексами. Тестирование и отладка работы программных комплексов. ",Не указана,Нет опыта,https://hh.ru/vacancy/118241509
Вакансия заместитель начальника отдела ИТ,Мосметрострой,"Опыт работы в должности заместителя руководителя подразделения ИТ не менее 3 лет, опыт работы в отрасли от 5 лет. ",Оперативное управление IТ-подразделением (во время отсутствия руководителя),194000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/118244241
Стажер в информационной безопасности,Солар,Что ты сможешь уделять работе от 20 часов в неделю. Учишься на одном из технических направлений в ВУЗе. ,Отборочное тестирование (до 26 марта). Командная игра. Собеседование с командой.,Не указана,Нет опыта,https://hh.ru/vacancy/118433263
Администратор сайта (DevOps),2lab,Администрирование систем на базе Linux (Ubuntu итп). Настройка политик сетевой безопасности (файрволлы итп в линукс),,30000 -  RUR,Нет опыта,https://hh.ru/vacancy/118460729
